timestamp,year,gender,age,YoutubeMin,InternetMin,SocialMediaMin,Classes,
9.9.2021 13:01:02,2학년,남,20,90,30,20,,
9.9.2021 13:01:06,3학년,남,23,20,30,120,,
9.9.2021 13:01:11,4학년 또는 그 이상,남,23,150,60,60,,
9.9.2021 13:01:11,3학년,여,21,90,30,60,,
9.9.2021 13:01:20,2학년,여,21,180,60,30,,
9.9.2021 13:01:33,3학년,여,23,30,3,4,,
9.9.2021 13:01:37,3학년,여,21,90,60,60,,
9.9.2021 13:01:40,4학년 또는 그 이상,남,23,120,1,1,,
9.9.2021 13:01:44,4학년 또는 그 이상,여,22,120,120,120,,
9.9.2021 13:02:00,2학년,여,19,50,30,30,,
9.9.2021 13:02:07,4학년 또는 그 이상,남,23,120,2,10,,
9.9.2021 13:02:28,4학년 또는 그 이상,여,23,0,120,240,,
9.9.2021 13:02:47,4학년 또는 그 이상,남,25,120,60,60,,
9.9.2021 13:03:00,4학년 또는 그 이상,남,25,180,20,10,,
9.9.2021 13:03:28,3학년,여,21,180,60,360,,
9.9.2021 13:03:43,4학년 또는 그 이상,여,21,60,6,3,,
9.9.2021 13:03:49,4학년 또는 그 이상,여,22,120,1,5,,
9.9.2021 13:03:56,3학년,남,22,330,120,60,,
9.9.2021 13:07:12,2학년,여,21,600,20,300,,
9.9.2021 13:07:54,3학년,남,21,60,30,0,,
9.9.2021 13:09:18,3학년,여,21,60,120,240,,
9.9.2021 13:13:02,3학년,여,21,120,120,360,,
9.9.2021 13:14:47,1학년,여,25,210,210,120,,
9.9.2021 13:16:12,3학년,여,23,120,180,200,,
9.9.2021 13:17:28,3학년,여,22,150,60,120,,
9.9.2021 13:22:15,4학년 또는 그 이상,여,23,0,1,5,,
9.9.2021 14:31:57,1학년,여,20,180,60,300,,
2022. 9. 2 오전 9:41:31,2학년,여,23,120,2,3,,
2022. 9. 2 오전 9:41:47,4학년 또는 그 이상,여,29,48,6,68,,
2022. 9. 2 오전 9:41:51,3학년,여,21,120,40,160,,
2022. 9. 2 오전 9:41:52,4학년 또는 그 이상,여,21,30,90,60,,
2022. 9. 2 오전 9:43:29,4학년 또는 그 이상,여,23,120,60,120,,
2022. 9. 2 오전 9:43:34,2학년,여,28,60,50,30,,
2022. 9. 2 오전 9:43:58,2학년,남,21,90,1,3,,
2022. 9. 2 오전 9:44:07,3학년,여,22,60,30,180,,
2022. 9. 2 오전 9:44:21,3학년,여,22,120,120,120,,
2022. 9. 2 오전 9:44:49,2학년,여,23,120,180,180,,
2022. 9. 2 오전 9:44:51,4학년 또는 그 이상,여,24,180,60,240,,
2022. 9. 2 오전 9:44:56,2학년,남,22,180,0,1,,
2022. 9. 2 오전 9:45:09,3학년,여,26,180,60,180,,
2022. 9. 2 오전 9:45:20,3학년,여,22,60,30,300,,
2023. 9. 1 오후 1:48:31,2학년,여,19세,60,60,60,MAS3001 미디어커뮤니케이션 조사론,
2023. 9. 1 오후 1:48:36,2학년,남,22,30,20,15,"MAS1004 Data & AI, MAS2008 Fundamentals of Programming and Problem, STS2004 대학수학, ECO2003 경제수리기초, MAT2110 선형대수학",
2023. 9. 1 오후 1:48:51,4학년 또는 그 이상,남,24,75,60,90,MAS3001 미디어커뮤니케이션 조사론,
2023. 9. 1 오후 1:49:33,2학년,남,20,300,400,300,MAS3001 미디어커뮤니케이션 조사론,
2023. 9. 1 오후 1:49:34,3학년,여,21,120,30,120,"MAS1004 Data & AI, MAS3001 미디어커뮤니케이션 조사론, STS2004 대학수학, STS2011 기초빅데이터프로그래밍, MAT2110 선형대수학",
2023. 9. 1 오후 1:49:58,3학년,남,23,60,30,0,"MAS3001 미디어커뮤니케이션 조사론, STS2004 대학수학",
2023. 9. 1 오후 1:50:07,2학년,남,20,120,30,60,"MAS3001 미디어커뮤니케이션 조사론, STS2004 대학수학",
2023. 9. 1 오후 1:50:11,4학년 또는 그 이상,여,22,30,50,120,"MAS3001 미디어커뮤니케이션 조사론, STS2004 대학수학",
2023. 9. 1 오후 1:50:38,4학년 또는 그 이상,여,22,0,5,180,,
2023. 9. 1 오후 1:50:49,4학년 또는 그 이상,여,23,77,30,234,"STS2004 대학수학, ECO2004 경제통계학",
2023. 9. 1 오후 1:50:56,2학년,남,19,140,40,2,"MAS1004 Data & AI, MAS3001 미디어커뮤니케이션 조사론, STS2004 대학수학",
2023. 9. 1 오후 1:51:24,3학년,여,20,60,20,200,MAS3001 미디어커뮤니케이션 조사론,
2023. 9. 1 오후 1:51:34,4학년 또는 그 이상,여,23살,49,41,73,"MAS1004 Data & AI, MAS3001 미디어커뮤니케이션 조사론",
2023. 9. 1 오후 1:52:51,3학년,여,25,120,240,300,,
2023. 9. 1 오후 1:53:18,2학년,여,26,240,30,60,,
2023. 9. 1 오후 1:54:47,3학년,여,20,150,60,240,"MAS2008 Fundamentals of Programming and Problem, MAS3001 미디어커뮤니케이션 조사론",
2023. 9. 1 오후 1:55:56,3학년,여,22,70,9,96,"MAS1004 Data & AI, STS2004 대학수학, STS2011 기초빅데이터프로그래밍",
2023. 9. 1 오후 1:56:43,3학년,여,23,150,30,60,MAS3001 미디어커뮤니케이션 조사론,