no,ModelType,SNS,gender,age,YoB,Living Area,Last Used Internet Service,Last Used Internet Service,Last Used Internet Service,Last Used Internet Service,Last Used Internet Service,Last Used Internet Service,Last Used Internet Service,Last Used Internet Service,group,PerceivedExpertise_01,PerceivedExpertise_02,PerceivedExpertise_03,Intimacy_01,Intimacy_02,Intimacy_03,Intimacy_04,TrustWorthiness_01,TrustWorthiness_02,TrustWorthiness_03,Ad Attitude_01,Ad Attitude_02,Ad Attitude_03,Ad Attitude_04,Purchase Intent_01,Purchase Intent_02,Tourism Attitude,Similarity_01,Similarity_02,IntentPerception_01,IntentPerception_02,CognitivePerception_01,CognitivePerception_02,EmotionalPerception_01,EmotionalPerception_02,Empathy_01,Empathy_02,Empathy_03,Likeness to Virtualhuman,FrequentlyUsedSNSChannel,SNSUsageTime,MainSNSActivity,MainlyUsedSNSChannel,ReasonForObtainingTourismInfo,MaritalStatus,MaritalStatus,MaritalStatus,MaritalStatus,MaritalStatus,MaritalStatus,Occupation,Occupation,Occupation,Occupation,Occupation
1,Virtual,No SNS,1,42,3,8,1,2,,4,5,6,7,,3,2,2,2,3,3,2,2,2,2,2,3,3,3,2,3,3,2,2,2,2,2,1,2,1,1,2,2,1,3,1,3,1,1,1,,,,,5,6,7,,,1,3
3,Human,SNS,2,35,2,3,,2,3,4,,6,,,2,2,2,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,1,4,1,,3,,5,,,,,2,2
6,Virtual,No SNS,2,21,1,8,1,2,3,4,5,6,7,,3,4,3,3,4,4,4,4,4,4,4,3,2,4,2,2,2,3,2,2,3,3,2,3,4,4,2,2,2,4,1,3,1,1,1,1,2,,,5,6,,,,2,1
8,Human,SNS,2,31,2,1,1,2,3,,5,6,7,,2,3,2,2,3,3,3,3,2,2,2,2,2,3,2,1,1,3,2,2,2,2,2,2,2,3,2,2,2,2,2,5,1,1,2,1,,,,5,6,,,,2,2
9,Virtual,SNS,2,29,1,8,1,2,3,4,5,6,7,,1,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,2,5,1,1,2,1,,,4,5,,,,,1,4
10,Human,SNS,2,36,2,8,1,2,3,4,5,6,7,,2,4,4,3,4,4,4,4,4,4,5,5,4,4,4,3,3,4,4,4,4,4,3,4,5,4,4,4,4,5,1,5,1,1,2,1,2,,,,6,,,,1,2
11,Virtual,No SNS,2,40,3,8,1,2,3,4,5,6,7,,3,4,3,3,4,4,4,3,3,3,3,3,3,4,4,2,2,3,3,3,3,3,3,3,2,2,3,3,3,2,1,3,1,1,1,1,,3,,,,7,,,1,7
15,Virtual,No SNS,2,27,1,1,1,2,3,4,5,6,7,,3,4,4,3,4,4,4,4,3,3,3,4,4,4,4,3,3,4,3,4,2,2,2,2,2,2,3,3,3,3,2,3,1,1,4,,,3,4,,,7,8,,2,1
16,Virtual,SNS,2,33,2,4,1,2,3,4,5,6,7,,1,2,2,2,3,2,1,4,2,1,1,3,2,4,3,2,2,3,1,1,5,4,2,2,3,3,1,1,1,1,1,4,2,1,2,1,,,,,6,,,,2,2
17,Human,No SNS,2,27,1,5,1,2,3,4,5,6,7,,4,3,4,2,2,3,2,4,3,2,2,2,2,3,2,2,2,3,3,2,4,3,3,2,2,2,2,2,1,1,1,3,1,2,,,,,,,,,,,2,2
22,Human,SNS,2,32,2,12,1,2,3,,,,,,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,2,3,3,4,3,3,3,3,3,3,3,2,3,1,1,2,1,,3,,5,,,,,2,3
23,Human,SNS,1,56,4,8,1,2,,4,,6,7,,2,2,2,4,3,5,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,3,4,4,3,4,4,4,3,4,2,2,1,1,1,1,,3,4,,6,,,,2,3
24,Virtual,SNS,1,38,2,10,1,2,,4,5,,7,,1,2,2,1,3,2,2,3,2,1,1,1,1,3,2,1,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,,,,,,7,,,2,2
25,Human,SNS,2,36,2,15,1,2,,4,,6,7,,2,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,2,2,2,2,2,2,3,3,3,2,1,3,1,1,4,1,,3,4,5,,,,,1,8
26,Human,SNS,2,34,2,8,,2,3,4,,6,7,,2,3,3,3,4,4,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,1,1,4,,,3,4,,,7,8,,2,2
27,Virtual,SNS,1,57,4,8,1,2,3,4,5,6,7,,1,4,4,5,4,4,4,4,4,3,5,5,4,4,5,4,4,5,5,4,4,4,4,4,5,4,5,4,4,4,1,3,3,1,1,1,,3,,5,6,,8,9,1,2
28,Virtual,SNS,1,27,1,1,1,2,3,4,5,6,7,,1,4,5,4,4,5,4,4,5,4,4,5,5,4,5,4,4,3,3,4,3,4,4,3,3,4,4,3,4,3,1,2,1,1,1,,,,4,5,,7,,,2,1
30,Virtual,SNS,1,68,5,14,1,2,3,4,,6,,,1,3,4,4,3,3,4,4,3,3,3,4,4,3,4,3,3,4,3,3,4,4,3,3,3,3,2,3,2,3,6,2,1,1,1,,,,,,,7,,,1,4
31,Virtual,SNS,2,32,2,8,1,2,3,4,5,,7,,1,3,2,2,3,3,3,3,4,2,3,3,2,2,2,2,2,3,2,2,3,2,3,2,2,2,3,3,2,2,1,3,1,1,1,1,,,,,,,,,1,7
32,Human,No SNS,1,47,3,4,1,2,3,4,5,6,7,,4,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,1,1,1,2,3,,,,,,,1,3
35,Human,No SNS,1,53,4,1,1,2,3,4,,,7,,4,4,4,4,3,5,3,4,4,4,4,4,4,4,4,3,3,4,3,3,4,3,3,3,3,4,3,3,3,3,1,4,1,1,1,,,3,4,5,,7,,,1,4
36,Human,No SNS,1,41,3,15,1,2,3,4,5,6,7,,4,4,3,3,2,2,3,3,3,2,3,3,2,3,3,2,2,2,2,3,3,3,2,3,2,3,2,2,2,2,1,3,1,1,1,1,,3,,,,,,,2,8
37,Human,No SNS,2,36,2,5,1,2,3,4,5,6,7,,4,3,4,3,3,4,3,3,4,3,4,3,3,2,3,4,3,4,3,4,3,3,3,3,4,3,4,3,3,2,1,2,1,2,,,,,,,,,,,2,2
38,Virtual,No SNS,2,29,1,5,1,2,3,4,5,6,,,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,2,3,1,1,2,1,,,,,,,,,2,3
39,Virtual,No SNS,1,38,2,8,1,2,,4,5,6,7,,3,4,4,3,4,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,2,2,2,2,1,2,2,3,3,3,2,3,1,2,,,,,,,,,,,1,2
41,Virtual,No SNS,2,37,2,1,1,2,3,,,6,,,3,4,5,5,5,5,5,5,5,4,5,5,5,5,4,4,3,4,4,3,4,5,4,5,5,4,3,4,4,3,2,5,1,1,2,1,,,,,,,,,1,7
42,Virtual,No SNS,1,44,3,1,1,2,3,4,5,6,7,,3,5,4,3,5,5,4,5,4,4,4,5,5,4,4,4,3,4,3,3,4,5,4,4,4,4,5,3,3,5,2,3,1,1,2,1,,3,,5,,7,,,1,2
43,Virtual,No SNS,2,35,2,1,1,2,3,4,5,6,7,,3,3,3,2,5,4,4,4,4,3,4,1,1,4,1,1,1,1,4,4,4,4,3,4,4,4,3,4,4,4,2,5,1,1,1,,,3,,,6,,,,1,2
44,Virtual,No SNS,2,40,3,1,1,2,3,4,,,7,,3,3,3,4,5,5,5,5,5,4,4,3,3,4,4,3,3,4,4,4,4,5,4,4,4,4,4,4,4,4,2,2,1,1,4,,,,,5,,,,,1,7
45,Virtual,No SNS,1,42,3,3,1,2,3,4,5,6,7,,3,4,2,4,3,3,3,4,3,3,4,3,3,4,3,4,3,4,3,4,3,4,3,4,4,4,4,4,3,3,4,3,1,1,5,,,,4,,6,7,,,1,4
47,Human,SNS,2,30,2,14,1,2,3,4,5,6,7,,2,3,4,3,4,4,4,4,4,3,4,3,3,4,3,3,2,3,2,2,3,3,3,4,4,4,2,2,2,2,2,3,1,1,2,1,,,,,,,,,2,6
49,Virtual,No SNS,1,36,2,6,1,2,3,4,5,6,7,,3,2,2,1,1,1,2,1,1,1,1,3,4,3,2,1,2,3,2,2,1,3,3,1,1,2,1,1,2,1,1,2,2,1,4,,,,,5,,,8,,1,6
50,Virtual,No SNS,1,42,3,8,,2,3,4,5,6,7,,3,3,4,3,2,4,4,4,4,4,4,4,4,4,4,2,2,3,2,2,3,4,4,3,2,4,2,2,2,2,1,3,1,1,2,,,3,,,,7,,,1,4
51,Human,No SNS,2,26,1,8,1,2,3,4,5,6,7,,4,3,2,3,2,4,4,4,3,3,3,4,3,4,3,3,2,4,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,1,2,1,2,,,5,,,,,2,2
52,Human,No SNS,2,39,2,8,1,2,,,5,6,,,4,3,4,3,3,4,4,4,3,3,4,3,3,3,3,3,4,3,3,3,3,4,3,4,3,4,3,4,3,4,2,4,3,2,,,,,,,,,,,2,8
53,Virtual,SNS,2,30,2,14,1,2,3,4,5,6,7,,1,3,3,2,4,4,3,4,3,3,3,3,3,4,3,2,3,3,3,3,4,4,3,4,3,4,3,4,3,4,1,5,1,1,4,,,3,4,5,,7,,,1,7
58,Virtual,SNS,2,43,3,1,1,2,3,4,5,6,7,,1,3,2,2,3,4,4,4,4,4,4,4,4,5,5,3,3,4,4,4,4,4,4,4,4,4,3,3,3,2,5,5,1,1,1,,,,4,,,,,,2,4
59,Virtual,SNS,1,30,2,8,1,2,3,4,5,6,7,,1,3,3,2,2,2,2,3,2,3,2,1,2,2,2,2,2,1,2,2,2,1,2,2,1,2,2,2,2,2,1,4,1,2,,,,,,,,,,,2,2
60,Virtual,SNS,2,43,3,8,1,2,,,,,,,1,3,4,3,2,3,3,3,2,2,2,3,3,3,2,3,3,3,3,2,3,4,4,3,3,3,3,3,2,3,1,3,1,1,4,,,,,,6,,,,1,3
61,Human,No SNS,2,38,2,1,1,2,3,4,5,6,7,,4,3,3,3,3,4,3,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3,3,4,3,4,3,3,3,4,1,4,1,1,2,1,,,,5,6,,,,2,2
62,Virtual,SNS,1,36,2,16,1,2,,4,5,6,7,,1,4,4,3,4,4,3,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,3,4,4,4,4,3,4,5,2,1,2,1,1,1,2,3,,,,,,,2,5
63,Human,No SNS,1,46,3,12,1,2,,,,,,,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,1,3,1,2,,,,,,,,,,,1,2
64,Human,SNS,1,50,4,1,1,2,,4,5,6,7,,2,3,2,2,4,3,2,1,2,1,2,2,2,2,1,2,1,2,2,2,2,2,1,1,2,2,2,2,1,2,1,2,1,1,1,,,3,,,6,,,,2,5
65,Human,SNS,2,51,4,9,1,2,3,4,5,6,7,,2,3,3,3,3,4,4,4,3,3,3,2,2,3,2,2,3,3,3,2,2,3,3,3,3,3,2,2,2,2,2,2,1,1,4,1,,,,5,,7,8,,1,3
66,Human,SNS,1,52,4,2,1,2,3,4,5,6,7,,2,2,4,4,2,4,3,4,3,3,3,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,3,3,3,3,1,4,1,1,1,,,3,4,,,7,8,,1,2
69,Human,SNS,2,48,3,11,,2,,4,5,6,,,2,4,3,2,4,4,3,4,2,3,4,4,4,4,4,2,1,4,4,2,2,2,3,4,2,5,4,5,4,3,1,2,1,1,4,,,,,5,6,,8,,1,7
72,Human,No SNS,2,48,3,8,1,2,,4,5,,7,,4,2,2,3,2,3,2,3,2,2,2,3,3,3,3,2,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,1,1,2,1,,3,,,,,,,2,2
74,Human,SNS,2,41,3,1,1,2,3,4,5,6,7,,2,4,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,1,5,1,1,1,1,,,,,,,,,1,2
75,Human,SNS,2,25,1,1,1,2,,,,6,,,2,3,3,2,2,3,2,3,2,3,2,2,2,3,2,2,2,2,2,3,2,3,2,3,2,2,2,3,2,2,2,5,2,1,2,,,,4,,,,,,2,3
77,Human,No SNS,2,53,4,8,1,2,,4,5,,,,4,4,4,4,3,5,4,4,4,4,4,4,4,4,3,4,4,5,5,5,5,5,5,5,5,5,4,4,4,4,1,5,2,1,4,,,3,,5,,7,,9,1,7
78,Human,No SNS,1,42,3,1,1,2,3,4,5,6,7,,4,2,2,3,5,4,4,4,3,3,3,2,4,4,3,1,1,2,2,2,3,2,3,3,2,4,1,2,1,1,2,3,3,1,1,,,,,5,,,,,2,5
79,Human,No SNS,2,30,2,1,1,2,3,4,5,6,7,,4,4,4,3,3,4,4,4,3,4,3,3,3,4,3,3,3,4,4,3,4,4,3,3,3,4,3,4,4,3,2,1,1,1,2,1,,,,5,6,,,,2,2
81,Virtual,No SNS,1,39,2,1,1,2,3,4,5,6,7,,3,4,4,5,4,3,4,4,4,3,4,5,5,4,4,4,5,4,4,4,3,4,4,4,4,3,4,4,4,4,1,3,3,1,1,1,,3,4,,6,,,,1,2
84,Human,No SNS,2,25,1,8,1,2,3,4,5,6,7,,4,3,3,3,2,3,3,3,3,3,3,4,3,3,3,3,3,3,2,3,4,4,3,3,3,4,3,3,3,2,2,3,1,1,2,1,2,3,,5,,,,,2,1
85,Human,No SNS,1,53,4,8,1,2,3,4,5,6,7,,4,2,2,2,3,3,3,3,3,3,3,2,2,3,3,2,2,2,3,3,3,3,2,2,3,3,2,3,3,2,6,2,1,1,1,,,3,4,5,,,8,,2,3
88,Human,SNS,1,43,3,1,1,2,3,4,5,6,7,,2,4,4,5,3,4,4,4,3,3,3,4,4,4,4,3,2,4,4,4,4,4,4,3,3,4,4,4,4,3,2,3,1,1,2,1,,3,,5,6,,8,,1,3
89,Virtual,SNS,1,62,5,1,1,2,3,4,5,,7,,1,5,4,5,4,4,3,4,3,2,2,4,5,4,4,4,5,4,4,4,4,4,5,4,3,4,4,4,4,4,3,2,1,1,4,1,,3,,5,,,,,1,8
90,Virtual,SNS,2,41,3,15,1,2,3,4,5,6,7,,1,3,3,3,4,4,4,4,3,3,3,4,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,4,,,3,,5,,,,,1,7
91,Virtual,No SNS,2,41,3,10,1,2,3,4,5,6,,,3,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,3,1,1,2,1,,3,,5,,,,,1,8
92,Human,SNS,2,23,1,4,1,2,3,4,5,6,7,,2,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,1,1,2,1,2,3,,5,6,,8,,2,8
97,Virtual,No SNS,2,33,2,8,1,2,3,4,5,6,7,,3,3,2,2,4,4,4,4,3,3,3,4,3,4,3,4,4,4,1,1,1,1,1,1,1,1,1,4,2,1,2,4,1,1,4,,,3,4,5,,,,,1,2
98,Human,SNS,2,58,4,3,1,2,3,,,6,7,,2,4,3,3,4,5,4,5,4,4,4,5,5,5,4,4,3,4,5,4,4,5,4,4,3,4,5,4,4,5,4,1,3,1,4,,,,,,,,,9,1,7
100,Virtual,No SNS,1,45,3,8,1,2,3,,,,,,3,4,2,3,4,3,3,3,3,3,3,4,4,3,3,3,3,4,4,4,3,3,3,3,3,3,3,3,3,3,4,3,1,1,1,1,,,,,,,,,1,6
101,Virtual,No SNS,2,37,2,1,1,2,3,4,5,6,7,,3,4,4,5,4,5,5,4,5,4,4,5,4,4,5,4,5,4,5,4,4,5,5,4,5,4,4,5,4,4,2,3,1,1,4,,,,4,,,,,,2,2
102,Virtual,SNS,2,24,1,8,1,2,3,4,5,6,7,,1,4,4,4,4,4,4,4,3,3,3,3,4,4,4,2,2,4,3,2,4,4,3,3,2,2,3,2,2,3,2,5,1,2,,,,,,,,,,,2,1
104,Virtual,SNS,2,26,1,15,1,2,,4,5,6,7,,1,4,4,3,4,4,4,5,1,1,1,1,1,3,3,1,1,1,1,1,5,5,5,5,5,5,3,5,3,1,2,5,1,1,2,1,,,4,5,,7,,,2,2
107,Virtual,SNS,1,25,1,13,1,2,3,4,5,6,7,,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,3,4,4,4,4,1,5,1,1,2,1,,,,5,,,,,2,1
108,Virtual,SNS,1,61,5,1,1,2,,4,5,6,7,,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,1,4,1,1,1,,,,,5,,,,,1,8
109,Virtual,SNS,1,55,4,4,1,2,3,4,5,6,7,,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,2,1,,3,,5,,7,,,1,2
110,Human,No SNS,1,35,2,8,1,2,3,4,5,,7,,4,2,2,2,3,4,4,4,3,2,3,2,3,4,3,2,2,2,3,2,2,2,2,2,3,3,4,3,2,2,1,2,1,1,2,1,,,,5,,,,,1,2
113,Human,No SNS,2,41,3,1,,2,3,4,5,,7,,4,3,3,2,2,3,2,3,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,4,2,1,1,4,,,,,5,,,,,2,8
117,Human,No SNS,1,48,3,15,,2,3,4,5,6,7,,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,3,2,4,4,4,2,2,4,4,2,4,3,4,4,4,1,4,1,1,1,,,,4,,,,,,1,2
118,Human,No SNS,2,42,3,3,1,2,3,4,5,6,7,,4,4,4,5,3,4,4,4,4,4,5,4,4,5,4,4,4,5,4,4,5,5,4,4,4,4,3,4,3,3,1,4,1,1,1,1,,,,5,,,,,1,7
119,Virtual,SNS,2,67,5,1,,2,,,5,,,,1,3,4,4,2,3,3,4,3,3,3,3,4,4,4,3,3,4,4,4,3,3,3,3,3,3,4,4,4,4,3,1,4,1,4,,,,,5,,,,,1,7
120,Virtual,No SNS,2,36,2,8,1,2,3,4,5,6,7,,3,3,4,3,4,4,4,5,4,3,4,4,4,4,3,3,4,4,4,4,4,4,3,3,2,3,3,3,4,3,2,2,1,1,4,,,,4,5,,,,,2,8
121,Human,No SNS,2,39,2,12,1,2,3,4,5,6,7,,4,4,3,3,2,2,2,4,3,3,3,2,2,2,2,2,2,2,2,2,3,3,3,4,4,4,2,2,2,2,2,5,1,1,2,1,,3,,5,6,,,,2,2
123,Virtual,No SNS,2,36,2,8,1,2,3,4,5,6,,,3,4,5,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,5,4,4,4,3,1,1,4,,,3,,,6,,8,,1,2
124,Virtual,SNS,2,35,2,1,1,2,3,4,5,6,7,,1,4,3,3,5,4,4,3,3,2,2,3,4,4,3,4,4,4,4,3,3,3,2,4,3,3,3,4,3,4,1,3,1,1,4,,,3,4,,,7,,,2,2
126,Virtual,SNS,1,51,4,8,1,2,,4,5,6,7,,1,4,3,5,5,4,4,4,4,3,3,4,4,4,4,3,3,4,2,2,2,4,3,3,3,3,4,3,3,2,1,2,1,1,1,,,3,,,,7,,,1,2
128,Virtual,SNS,2,23,1,15,1,2,3,4,5,6,7,,1,4,4,4,4,3,3,4,3,4,3,4,4,4,4,3,3,4,3,3,4,4,3,4,4,3,3,4,4,4,2,4,1,1,2,1,,3,,5,6,7,8,,2,8
130,Virtual,No SNS,2,44,3,15,,2,3,4,,6,,,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,2,1,2,,,,,,,,,,,1,5
134,Human,No SNS,2,43,3,15,1,2,3,4,5,6,7,,4,3,3,2,4,4,4,4,3,3,3,4,4,4,3,4,2,5,4,4,4,4,4,4,4,5,5,5,5,4,1,4,1,1,4,,,3,4,,,,8,,1,2
136,Human,No SNS,1,58,4,1,1,2,3,4,5,,7,,4,3,3,2,3,3,3,3,3,3,3,2,2,3,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,3,2,2,1,2,,,,,,,,,,,1,2
137,Virtual,No SNS,2,37,2,1,1,2,,4,5,6,,,3,3,3,3,5,5,2,4,4,3,3,1,1,3,1,1,1,1,1,1,4,4,3,3,3,3,1,2,1,3,2,1,1,1,2,,,,,5,,,,,2,2
139,Human,SNS,2,29,1,1,1,2,3,4,5,6,7,,2,3,3,2,3,4,3,3,2,2,3,3,3,4,3,2,3,3,4,2,4,4,4,4,4,4,3,3,4,2,2,4,1,1,2,1,,,4,,,,,,2,2
140,Human,SNS,2,38,2,8,1,2,3,4,5,6,7,,2,3,3,2,2,3,3,3,3,2,2,2,3,3,3,3,3,2,3,3,2,2,3,3,3,3,3,2,2,3,1,4,1,1,1,,2,,,5,,,,,1,3
141,Human,SNS,1,24,1,1,1,2,3,4,5,6,7,,2,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,3,3,4,3,4,3,4,4,4,1,5,1,1,2,1,,3,,,,,,9,2,5
144,Human,SNS,1,37,2,5,1,2,,4,,6,,,2,4,4,5,3,4,3,4,4,4,5,4,5,4,4,3,3,4,4,4,4,4,4,3,4,3,4,4,4,3,1,4,1,1,1,1,,,4,5,,,8,,2,5
145,Human,SNS,1,55,4,1,1,2,,4,5,6,7,,2,3,3,2,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,3,3,3,3,2,3,2,2,2,4,1,4,1,1,1,,,3,4,,6,7,,,1,2
147,Human,SNS,2,36,2,14,1,2,3,4,5,6,7,,2,4,3,3,2,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,4,4,3,4,3,3,2,2,2,2,1,5,1,1,1,1,,,4,,,,8,,2,2
148,Human,SNS,2,41,3,10,1,2,3,4,5,6,7,,2,2,2,3,3,4,3,4,3,2,3,4,4,3,5,2,3,5,3,4,4,3,1,4,2,3,2,3,3,4,4,3,3,1,4,,,3,4,5,,,,,1,7
149,Human,SNS,2,40,3,1,1,2,3,4,5,6,7,,2,2,2,2,2,2,2,3,2,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,4,,,3,,,,,,,2,2
155,Virtual,No SNS,1,43,3,1,1,2,,4,5,6,7,,3,4,3,4,5,4,4,4,3,3,2,4,4,4,4,4,4,4,3,2,4,4,4,3,3,3,2,3,2,3,1,3,1,1,1,,,3,4,,,7,,,2,8
156,Virtual,No SNS,2,35,2,1,1,2,3,4,5,6,7,,3,4,3,2,4,4,4,4,4,4,4,3,2,4,2,1,1,1,2,1,1,2,3,3,4,4,2,3,2,4,1,4,1,1,1,,,,4,,,,,,1,7
158,Virtual,No SNS,1,32,2,15,1,2,3,4,5,,,,3,4,3,3,4,3,3,3,2,3,2,3,3,3,2,3,2,3,3,2,2,3,3,3,4,3,3,2,3,3,1,3,1,1,1,1,2,3,,,6,7,,,2,8
159,Virtual,No SNS,2,33,2,5,1,2,3,4,5,6,7,,3,3,2,2,4,4,3,3,2,3,2,3,2,3,2,2,3,3,4,3,2,4,3,3,3,4,4,4,3,3,5,1,1,1,4,,,,4,,6,7,8,,2,2
