no,ModelType,SNS,gender,age,YoB,Living Area,Last Used Internet Service,Last Used Internet Service,Last Used Internet Service,Last Used Internet Service,Last Used Internet Service,Last Used Internet Service,Last Used Internet Service,Last Used Internet Service,group,PerceivedExpertise_01,PerceivedExpertise_02,PerceivedExpertise_03,Intimacy_01,Intimacy_02,Intimacy_03,Intimacy_04,TrustWorthiness_01,TrustWorthiness_02,TrustWorthiness_03,Ad Attitude_01,Ad Attitude_02,Ad Attitude_03,Ad Attitude_04,Purchase Intent_01,Purchase Intent_02,Tourism Attitude,Similarity_01,Similarity_02,IntentPerception_01,IntentPerception_02,CognitivePerception_01,CognitivePerception_02,EmotionalPerception_01,EmotionalPerception_02,Empathy_01,Empathy_02,Empathy_03,Likeness to Virtualhuman,FrequentlyUsedSNSChannel,SNSUsageTime,MainSNSActivity,MainlyUsedSNSChannel,ReasonForObtainingTourismInfo,MaritalStatus,MaritalStatus,MaritalStatus,MaritalStatus,MaritalStatus,MaritalStatus,Occupation,Occupation,Occupation,Occupation,Occupation
160,Virtual,No SNS,2,43,3,5,,2,,4,5,6,,,3,3,2,3,4,3,3,3,2,3,3,3,4,3,3,2,2,3,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,1,2,,,3,4,5,6,,,,1,7
161,Virtual,No SNS,1,31,2,1,1,2,3,4,5,6,7,,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,2,4,1,1,1,1,2,,4,5,,,,,2,2
162,Virtual,No SNS,1,54,4,1,1,2,3,4,5,6,7,,3,3,3,3,3,3,4,4,3,3,3,4,4,4,4,3,4,4,4,3,3,3,4,3,3,2,3,3,3,3,1,2,1,1,4,1,,3,,5,,7,8,,1,5
163,Virtual,No SNS,1,43,3,8,1,2,3,,5,6,7,,3,4,3,4,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,2,1,1,1,,,,4,,,,,,1,3
165,Virtual,No SNS,1,66,5,13,1,2,3,4,5,6,7,,3,4,4,4,5,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,2,1,1,,,3,,5,,7,8,,1,8
167,Human,SNS,2,26,1,1,1,2,3,4,5,6,7,,2,3,3,3,3,3,3,4,3,3,3,3,3,4,3,3,3,4,3,3,2,2,3,4,3,3,4,3,3,2,2,3,1,1,2,,,3,,,,,,,2,1
168,Human,SNS,1,43,3,9,1,2,3,4,5,,7,,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,1,3,,,3,,,,,,,1,3
170,Human,SNS,2,29,1,8,1,2,3,4,5,6,7,,2,2,3,2,1,3,3,3,2,2,2,2,2,3,1,2,2,3,3,2,4,3,3,3,3,3,2,3,3,2,5,3,1,1,5,1,,,4,,,,,,2,8
172,Human,No SNS,2,52,4,2,1,2,3,4,5,6,7,,4,4,4,3,4,4,3,4,3,3,3,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,3,1,1,4,,,,4,5,,,,,2,3
173,Human,SNS,2,55,4,14,1,2,3,4,,,,,2,3,4,3,3,3,4,3,4,4,3,4,3,3,3,2,2,2,3,2,3,3,2,3,3,3,2,2,2,2,1,3,1,1,1,1,,,,,,,,,2,2
174,Human,No SNS,1,47,3,14,1,2,3,4,5,6,7,,4,4,4,4,4,4,4,4,3,3,4,4,4,5,4,4,4,4,4,4,4,4,3,3,3,4,3,3,3,2,1,4,1,1,1,,,3,,5,,7,8,,2,2
175,Human,SNS,1,28,1,9,1,2,3,4,5,6,,,2,4,4,3,4,4,4,4,3,3,3,4,4,4,4,3,4,4,3,3,4,4,4,4,4,4,5,5,5,3,1,3,1,1,1,,,3,,5,6,,,,2,6
176,Human,No SNS,1,30,2,10,1,2,3,4,5,6,7,,4,3,3,3,2,3,3,3,3,3,3,4,4,3,3,3,3,4,3,3,3,3,2,2,3,3,3,3,3,3,1,3,1,1,4,,,3,,5,,7,,,2,3
178,Human,No SNS,1,41,3,4,1,2,,4,5,6,7,,4,3,3,2,2,3,2,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,2,,,,4,,,,,,1,3
179,Human,No SNS,1,32,2,3,1,2,3,4,5,6,7,,4,4,4,3,4,5,4,4,4,5,4,4,4,3,4,4,4,5,4,3,4,4,3,4,4,3,4,5,4,4,2,3,2,1,2,,2,3,,,,,,,2,8
180,Human,No SNS,2,32,2,1,1,2,3,4,5,6,7,,4,2,2,2,2,2,2,4,3,3,3,1,2,3,2,2,2,2,3,1,4,4,3,2,2,3,1,1,1,1,4,2,1,1,2,1,,,,,6,,,,2,8
185,Virtual,SNS,2,33,2,8,1,2,,,,6,,,1,3,3,3,3,3,3,3,3,3,3,3,4,4,4,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,2,5,1,2,,,,,,,,,,,1,3
186,Virtual,SNS,1,44,3,4,1,2,3,4,5,6,7,,1,4,4,4,3,3,3,3,4,3,3,4,4,3,3,3,3,3,2,2,4,3,3,3,3,3,2,3,3,3,2,1,1,2,,,,,,,,,,,2,2
187,Virtual,SNS,1,35,2,7,1,2,3,4,5,6,7,,1,5,5,5,4,5,5,5,5,5,5,4,5,4,5,4,5,4,5,5,5,5,5,5,5,4,5,5,5,5,1,2,1,2,,,,,,,,,,,1,2
189,Virtual,SNS,1,66,5,14,1,2,3,4,5,,7,,1,3,2,2,2,3,2,3,2,2,2,3,2,2,2,2,2,3,2,2,4,4,1,2,1,1,1,1,1,2,1,5,1,1,1,,,,4,5,6,7,8,,1,4
190,Virtual,SNS,2,28,1,10,1,2,,4,5,6,7,,1,3,3,2,3,4,4,4,3,3,3,3,3,4,3,2,2,3,3,3,3,3,4,4,4,4,4,4,4,4,2,4,1,1,2,1,,,,5,,,,,2,2
191,Virtual,SNS,1,53,4,12,1,2,3,4,,,7,,1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,2,3,1,1,2,1,,,4,,,,,,1,6
192,Virtual,SNS,1,44,3,8,1,2,3,4,5,6,7,,1,3,3,3,3,3,3,3,3,3,3,4,3,4,3,2,2,3,1,2,3,3,3,3,3,4,2,2,1,1,1,2,1,2,,,,,,,,,,,1,2
193,Virtual,SNS,2,31,2,1,1,2,3,4,5,6,7,,1,2,2,3,4,3,3,4,3,2,3,2,2,4,3,2,2,3,3,2,4,3,3,2,2,3,3,2,4,3,1,3,2,1,2,1,,,,,,7,8,,2,2
194,Human,SNS,2,52,4,4,1,2,3,4,5,,7,,2,3,3,2,3,3,3,3,2,2,2,2,3,3,2,3,3,2,2,2,3,3,2,3,3,3,3,3,2,2,2,3,1,2,,,,,,,,,,,1,7
197,Human,SNS,2,22,1,10,1,2,3,4,5,6,7,,2,4,4,4,2,4,4,4,4,3,4,4,4,4,4,4,4,5,3,3,3,4,4,4,3,4,2,4,3,1,1,5,1,1,4,1,,,4,5,,,,,2,1
198,Virtual,No SNS,2,21,1,4,1,2,3,4,5,6,7,,3,4,3,3,3,3,3,4,3,4,4,4,5,3,5,4,4,5,4,3,4,4,4,2,1,1,3,3,2,2,2,4,1,1,4,,,3,,5,,,8,9,2,1
199,Virtual,No SNS,2,41,3,8,1,2,,4,5,6,7,,3,3,3,2,3,3,4,4,4,3,3,3,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,3,3,3,2,4,1,1,2,1,,3,,,,,,,1,7
200,Human,SNS,1,61,5,4,,2,3,4,5,,7,,2,5,5,5,5,4,5,5,5,4,5,5,5,5,5,4,5,5,5,4,4,5,5,5,2,5,5,5,5,1,1,3,1,1,1,1,,3,4,,,7,,,1,4
203,Virtual,No SNS,1,48,3,3,1,2,,4,,6,,,3,3,3,2,4,4,3,3,3,3,2,2,2,3,3,2,2,3,3,2,3,3,2,3,3,2,3,3,2,3,1,2,1,1,1,1,,,,5,,,,,1,5
204,Virtual,No SNS,2,52,4,1,1,2,,,5,6,7,,3,4,4,3,5,4,4,5,4,4,4,5,4,4,4,4,3,4,4,4,4,4,3,4,3,4,3,4,3,4,1,4,1,1,2,1,,,,5,6,,,,1,2
208,Human,No SNS,1,40,3,8,1,2,3,4,5,6,7,,4,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,4,1,1,4,1,,3,4,,6,,,,2,2
212,Human,No SNS,2,46,3,1,1,2,,,,,,,4,4,4,3,3,4,4,4,4,3,3,4,4,4,4,3,3,4,4,3,3,3,3,3,3,3,4,3,3,3,2,5,1,1,2,1,,3,4,,6,,,,1,8
213,Human,No SNS,1,43,3,8,1,2,3,4,5,6,7,,4,3,3,4,4,3,3,4,4,3,3,4,4,3,3,3,3,4,4,3,3,4,4,3,3,3,4,4,3,4,4,3,1,1,4,1,,3,,,,,,,1,5
214,Virtual,SNS,1,53,4,8,1,2,3,4,5,6,7,,1,3,3,2,2,2,2,1,3,2,2,2,2,2,2,3,2,2,2,3,3,2,3,3,2,2,3,3,3,3,1,5,1,1,1,1,,,4,5,,7,,,2,2
215,Virtual,SNS,2,39,2,1,1,2,3,4,,6,7,,1,5,4,4,2,4,3,4,4,4,4,5,5,5,5,3,3,3,3,2,3,3,2,2,3,3,3,3,4,4,2,3,1,1,2,,,,,5,,,,,3,7
217,Virtual,SNS,2,33,2,7,1,2,3,4,5,6,7,,1,4,4,4,4,5,3,4,3,3,3,4,4,3,4,2,2,3,4,4,3,3,4,4,3,2,3,3,2,3,2,2,1,2,,,,,,,,,,,2,2
218,Virtual,SNS,1,56,4,1,1,2,,,,,7,,1,4,4,3,4,4,4,4,4,4,4,3,3,3,3,2,2,2,3,4,3,3,3,2,2,3,3,4,3,3,3,1,1,1,4,,,3,,,,7,,,1,2
220,Human,No SNS,2,32,2,10,1,2,3,4,5,6,7,,4,4,4,4,2,3,3,4,4,3,4,4,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,4,4,2,1,3,2,1,2,1,2,,4,,6,,,,1,5
221,Human,SNS,2,56,4,6,1,2,3,4,5,6,7,,2,4,4,4,4,4,4,4,4,4,3,4,4,4,4,3,4,4,4,4,4,4,3,4,3,4,3,4,3,3,1,2,1,1,2,1,,,,,6,,,,1,7
222,Human,SNS,2,41,3,6,1,2,3,4,5,,7,,2,4,4,5,1,3,2,3,1,2,2,3,3,4,3,3,3,4,4,3,5,4,2,2,3,2,1,3,2,2,4,5,1,2,,,,,,,,,,,2,3
224,Human,SNS,1,37,2,4,1,2,3,4,5,,7,,2,4,5,4,2,2,2,4,3,3,3,4,5,4,3,3,2,5,4,4,3,4,3,5,4,3,2,3,3,1,1,3,1,2,,,,,,,,,,,1,8
226,Human,No SNS,1,49,3,1,1,2,3,4,5,6,7,,4,4,3,3,4,4,4,4,4,3,3,4,4,4,4,2,2,3,3,2,3,3,3,4,2,4,3,4,4,2,4,1,1,1,4,,,3,,5,,,,,1,2
229,Virtual,No SNS,1,43,3,3,1,2,3,4,5,6,7,,3,4,3,4,5,4,4,5,3,4,4,4,4,4,4,4,4,4,3,4,5,4,4,3,5,4,4,4,5,4,1,5,1,1,1,,,3,,5,,7,,,1,2
235,Human,No SNS,2,48,3,1,1,2,,4,5,6,7,,4,4,4,3,3,4,4,4,3,3,3,3,3,4,3,3,3,4,3,3,3,3,3,4,3,4,3,3,3,3,4,1,2,1,4,1,,3,,,,,8,,1,7
236,Virtual,No SNS,1,41,3,8,1,2,3,4,5,6,7,,3,1,1,1,3,3,3,3,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,5,1,1,1,1,,,4,5,,7,,,2,2
237,Virtual,No SNS,1,26,1,1,1,2,3,4,5,6,7,,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,4,3,4,4,4,3,4,4,4,3,4,4,4,3,2,3,2,1,2,1,,,,,,,,,2,5
238,Human,No SNS,2,45,3,3,1,2,3,4,5,6,7,,4,2,3,2,2,3,3,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,3,3,3,1,2,2,2,1,1,1,1,4,,,3,4,,,,,,1,2
239,Virtual,No SNS,1,51,4,2,1,2,,,5,,7,,3,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,1,2,1,2,,,,,,,,,,,1,2
240,Virtual,SNS,2,51,4,6,1,2,3,4,,6,7,,1,3,4,3,4,4,4,4,3,3,3,4,4,4,4,4,3,4,4,4,4,4,3,3,3,4,4,3,3,3,1,2,1,1,1,1,,,4,,,,,,1,7
241,Virtual,SNS,2,25,1,8,1,2,3,4,5,6,7,,1,2,2,2,3,2,3,3,1,1,1,1,1,2,2,2,2,2,2,2,4,3,3,1,1,1,1,2,1,2,2,3,1,1,4,,,,4,,,,,,2,1
242,Virtual,SNS,2,36,2,5,1,2,3,,,6,,,1,3,3,3,5,5,5,5,4,3,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,3,3,3,2,3,1,1,2,1,,3,,,,,,,1,2
243,Virtual,SNS,1,44,3,1,1,2,3,4,,6,7,,1,4,4,4,5,4,4,4,4,4,4,4,4,5,5,3,3,4,3,4,3,5,4,4,4,4,4,3,4,4,1,4,1,1,1,,,,,,6,,,,2,8
246,Human,SNS,2,46,3,9,1,2,3,4,5,,7,,2,3,3,3,3,4,4,4,3,3,3,4,4,4,3,3,3,4,4,3,4,4,3,4,4,4,3,3,3,2,2,3,1,1,4,,,,,5,,,,,1,2
247,Human,SNS,2,56,4,8,,2,,,,,,,2,4,4,4,2,3,3,4,3,4,3,3,4,4,4,3,3,4,3,3,4,4,4,3,4,4,4,4,4,3,2,1,3,1,4,,,,4,,,,,,1,7
248,Human,SNS,2,37,2,8,1,2,3,4,5,6,7,,2,3,3,2,2,3,3,3,3,3,3,2,2,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,2,2,2,3,1,1,2,1,,,,5,6,,,,2,2
250,Human,SNS,2,44,3,3,1,2,3,4,5,6,7,,2,3,3,3,2,3,3,4,4,4,4,3,3,4,3,3,2,3,3,3,3,3,3,3,3,3,2,3,3,3,1,4,1,2,,,,,,,,,,,3,5
251,Human,No SNS,2,63,5,9,1,2,,4,,,7,,4,3,3,2,3,4,4,4,3,3,3,2,2,3,2,3,3,3,3,3,3,4,3,3,3,4,3,3,3,3,1,4,1,1,1,1,,,,5,,,,,1,4
252,Human,SNS,1,55,4,8,1,2,3,4,5,6,7,,2,3,3,3,3,4,4,4,3,3,3,2,3,4,3,2,2,3,3,2,4,4,3,3,3,4,2,3,3,2,1,2,1,1,2,,,,4,,,,,,1,3
253,Human,No SNS,2,27,1,16,1,2,,4,5,6,7,,4,3,3,2,3,3,3,4,3,3,3,3,3,4,3,3,3,3,3,3,2,2,3,3,4,4,3,3,3,2,5,2,1,1,5,,,3,,,,7,,,2,8
254,Human,No SNS,2,26,1,8,1,2,,4,5,6,7,,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,3,3,3,3,2,3,3,2,3,3,3,3,3,3,3,1,4,1,1,1,1,,,,,,,,,2,6
256,Human,No SNS,2,29,1,1,1,2,3,4,5,6,7,,4,2,1,1,3,4,4,4,3,3,2,2,2,2,1,3,3,2,1,1,1,2,2,2,1,3,3,2,1,4,5,4,1,1,4,,,,,,,,,9,2,2
258,Human,No SNS,2,36,2,8,1,2,,4,5,6,7,,4,2,4,2,4,4,4,4,4,4,4,5,4,3,4,2,2,4,4,4,4,5,4,4,4,4,4,4,4,4,2,2,1,1,2,1,2,,4,,6,7,,,1,7
259,Human,No SNS,2,54,4,1,1,2,3,4,5,6,7,,4,3,4,3,3,3,3,4,5,5,4,3,2,3,3,4,3,4,4,5,5,5,3,3,4,5,4,3,3,4,2,3,3,1,2,,,3,,,,,,,1,2
261,Virtual,No SNS,1,56,4,10,1,2,3,4,5,6,7,,3,4,4,4,4,4,4,4,3,3,3,4,4,4,3,3,3,4,4,3,4,3,3,4,3,3,3,4,3,4,1,2,1,1,1,,,3,,,,,8,,1,2
262,Virtual,No SNS,1,41,3,1,1,2,3,4,5,6,7,,3,2,2,2,2,3,3,3,2,2,2,1,1,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,3,1,2,,,,,,,,,,,2,8
264,Virtual,No SNS,1,56,4,1,1,2,3,4,5,6,7,,3,4,3,5,4,5,5,3,4,5,4,3,3,5,5,4,3,3,5,4,5,3,4,2,5,4,5,3,4,5,1,3,1,1,1,,2,,4,5,6,,,,1,4
265,Virtual,No SNS,2,28,1,14,1,2,3,4,5,6,7,,3,5,3,4,4,5,5,5,4,3,3,2,4,5,4,4,3,5,3,3,5,5,3,5,5,4,1,4,1,4,2,2,1,1,2,,,,,5,,,,,2,8
269,Virtual,SNS,2,38,2,1,1,2,3,4,5,6,7,,1,4,4,4,4,4,3,4,3,3,3,4,4,4,4,3,3,3,3,2,2,2,3,3,3,3,1,1,1,3,2,3,1,1,2,1,2,,,,,,,,2,2
270,Virtual,SNS,1,56,4,1,,2,3,4,5,,,,1,4,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,6,2,2,1,1,,2,,,,,,,,1,5
272,Human,SNS,2,36,2,8,1,2,3,4,5,6,7,,2,4,3,3,3,4,4,4,3,3,3,2,2,3,2,3,2,3,2,2,3,3,2,3,3,3,3,3,3,2,2,2,1,1,4,1,2,3,4,5,6,7,8,9,2,2
278,Human,No SNS,2,44,3,1,1,2,3,4,,6,7,,4,4,5,4,4,5,4,5,5,4,5,5,5,5,4,3,4,4,5,4,3,4,4,4,4,4,4,4,4,3,1,4,1,1,4,,,3,,,,7,8,,1,7
279,Virtual,No SNS,2,59,4,6,,2,3,4,5,,7,,3,2,2,2,3,4,4,3,2,3,3,3,4,4,3,3,4,4,3,3,3,2,4,3,4,3,3,3,4,3,6,2,1,2,,,,,,,,,,,1,2
280,Virtual,No SNS,2,33,2,9,,2,,4,,6,7,,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,2,2,1,2,,,,,,,,,,,1,2
283,Virtual,SNS,2,37,2,8,1,2,3,4,5,6,7,,1,4,3,3,4,4,4,4,4,3,4,4,5,4,5,4,4,3,4,4,3,4,4,2,2,1,3,4,3,3,1,2,1,1,4,1,,3,4,,,,,,1,6
286,Human,SNS,1,39,2,12,1,2,3,4,,6,,,2,3,3,3,4,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,2,3,3,3,3,3,2,3,3,1,1,5,1,1,1,,,3,4,5,6,7,,,1,5
293,Virtual,SNS,1,27,1,5,1,2,3,4,5,6,7,,1,2,1,1,2,4,4,5,1,1,1,1,1,1,2,1,1,1,1,1,4,4,3,1,1,1,1,1,1,1,5,3,3,1,5,1,2,,,,,,,,2,5
295,Virtual,SNS,2,22,1,2,1,2,3,4,5,6,7,,1,4,4,4,2,1,1,4,2,2,1,2,4,3,3,2,1,2,4,3,3,4,4,4,4,4,3,3,3,2,1,5,1,1,2,1,,,,,6,,,,2,8
296,Human,SNS,1,27,1,2,1,2,3,4,5,6,7,,2,4,4,4,4,4,3,4,3,3,3,4,4,4,4,4,4,4,2,2,5,4,4,4,4,4,4,4,4,4,1,5,1,1,4,,,,4,5,,7,8,,2,4
300,Human,No SNS,2,34,2,1,1,2,3,4,5,6,7,,4,4,3,3,3,4,4,4,4,4,4,2,2,3,3,2,2,2,3,3,3,3,2,3,2,4,3,4,4,2,2,3,1,1,2,,,3,,5,6,,,,1,2
302,Virtual,SNS,2,24,1,8,1,2,3,4,5,6,7,,1,3,2,2,3,2,2,3,1,3,2,2,2,3,3,2,2,2,1,3,3,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,,,4,,6,,,,2,8
304,Human,No SNS,1,59,4,8,,2,,4,5,6,7,,4,2,3,2,1,3,3,3,3,3,3,4,4,4,4,3,3,4,2,2,4,4,2,2,1,3,1,1,1,1,3,1,1,2,,,,,,,,,,,1,2
306,Human,SNS,1,55,4,1,,2,3,4,,,7,,2,4,4,4,4,5,5,5,4,4,4,4,5,4,4,3,3,4,4,4,4,4,4,4,2,3,4,4,4,4,2,3,1,2,,,,,,,,,,,1,2
311,Virtual,No SNS,1,43,3,3,1,2,,4,5,6,7,,3,3,4,3,3,3,3,3,3,3,3,4,4,3,4,3,3,4,3,3,3,3,3,3,3,3,3,3,3,3,1,4,1,1,2,,2,3,4,,,,,,1,4
312,Virtual,No SNS,1,42,3,15,1,2,3,4,5,6,7,,3,2,2,2,2,4,5,4,3,3,4,4,5,5,5,2,2,4,4,5,2,2,2,2,4,4,2,4,3,3,1,2,1,1,1,1,,3,4,,,7,8,9,1,2
314,Human,SNS,1,69,5,3,1,2,,,,6,7,,2,1,4,4,2,3,3,3,3,3,4,4,4,3,4,3,3,4,3,3,3,4,4,4,2,3,3,3,3,3,1,2,1,1,4,,,,,,,,8,,1,8
315,Human,SNS,1,40,3,8,1,2,3,4,5,6,7,,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,3,3,3,4,3,3,3,3,3,5,1,1,2,1,,3,4,,,,,,1,3
316,Human,No SNS,1,21,1,8,1,2,3,4,5,6,7,,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,3,3,3,4,4,4,4,3,1,2,2,1,4,,,3,4,,,7,8,,2,1
317,Human,No SNS,2,44,3,1,1,2,3,4,5,,7,,4,4,3,3,2,3,3,4,3,3,3,3,3,4,3,3,4,4,3,3,4,4,4,3,3,3,3,3,3,3,2,1,1,1,1,,,,4,,6,7,,,1,7
319,Virtual,SNS,1,46,3,1,1,2,3,4,5,6,7,,1,3,3,3,3,3,3,3,3,3,3,2,2,3,2,3,3,2,3,2,3,3,3,3,3,3,2,2,2,2,1,1,1,1,4,,,3,,,,7,,,1,3
320,Virtual,SNS,2,40,3,15,1,2,3,4,5,,7,,1,2,3,3,2,1,2,3,3,4,3,3,2,3,2,2,2,2,3,2,2,3,3,4,4,3,2,3,2,3,1,3,1,1,4,,,,4,,,,,,2,2
321,Virtual,SNS,1,25,1,8,1,2,3,4,5,6,7,,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,3,1,2,,,,,,,,,,,2,6
323,Virtual,No SNS,1,60,5,15,1,2,3,4,5,6,7,,3,5,4,5,5,5,4,5,5,4,4,5,5,5,5,4,4,5,4,4,5,5,4,4,4,5,5,5,4,5,1,4,1,1,1,1,,3,4,,,,8,,3,2
325,Human,SNS,1,40,3,8,1,2,3,4,5,6,7,,2,3,3,3,3,4,4,4,3,3,3,4,4,4,4,3,3,4,4,4,4,4,3,3,3,4,3,4,3,3,1,5,1,1,1,,,,4,,,,,,1,2
327,Human,No SNS,1,25,1,1,1,2,3,,5,6,7,,4,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,1,5,1,2,,,,,,,,,,,2,1
328,Human,No SNS,2,34,2,17,1,2,3,4,5,6,7,,4,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,,,,,,,,,1,2
329,Virtual,SNS,2,31,2,1,1,2,3,4,5,6,7,,1,4,4,3,4,3,3,4,3,3,3,4,3,4,3,2,3,4,3,3,4,4,4,3,4,4,3,4,3,3,2,4,1,1,4,,,,,,,7,,,2,2
334,Human,SNS,2,41,3,9,1,2,3,4,5,,7,,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,,,3,4,,,,,,1,7
335,Virtual,No SNS,1,38,2,1,1,2,3,4,5,6,7,,3,4,4,3,4,3,4,4,4,4,4,4,4,4,3,3,3,4,4,4,2,2,3,4,3,3,3,3,3,4,1,2,1,1,3,1,,3,,,,,,,1,6
339,Virtual,No SNS,1,50,4,1,1,2,3,4,5,6,7,,3,2,2,2,2,3,4,3,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,3,3,3,3,3,3,3,3,2,1,2,,,,,,,,,,,1,2
340,Human,No SNS,2,28,1,14,1,2,3,4,5,6,7,,4,3,3,2,2,3,3,3,3,3,3,3,3,4,3,2,2,3,2,2,3,3,3,3,3,3,2,2,2,2,1,4,1,1,4,1,,3,4,5,,,8,,2,8
341,Human,No SNS,1,42,3,1,1,2,3,4,5,6,7,,4,3,2,2,4,3,3,3,3,3,3,4,3,4,4,3,3,3,3,4,3,4,4,3,3,3,3,3,3,1,1,5,1,1,4,,,3,,,,,,,2,2
343,Virtual,SNS,1,41,3,1,1,2,3,4,5,6,7,,1,4,4,4,4,5,5,5,4,4,4,4,5,5,4,4,4,4,4,4,3,4,4,4,4,5,5,5,4,5,1,5,3,1,1,1,,,4,5,,,8,,2,3
344,Human,SNS,1,40,3,8,1,2,3,4,5,6,7,,2,3,2,1,3,3,2,3,2,2,2,3,3,3,2,2,4,3,2,2,4,4,3,3,4,4,2,2,2,3,1,4,1,1,1,1,,3,4,5,,,8,9,1,2